ResponseID,list,msg,typos,gram_err,friends,similar,consci,less intell,intell,sophis,friendly,considerate,housemate,likeable,trust,flowed,education,age,reads,Ecommunication,Grammar,Bothered,Noticed,Extraver,Agree,Consci,Neur,Open,Scale
R_00VGakVwRF9XxUF,3,Adrian,0,0,5,3,5,3,5,3,5,6,5,6,6,6,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,5
R_00VGakVwRF9XxUF,3,Alex,0,0,5,3,3,3,5,3,7,5,4,5,3,7,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,4.545454545
R_00VGakVwRF9XxUF,3,Blair,2,0,5,3,5,3,5,3,6,5,5,5,5,5,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,4.727272727
R_00VGakVwRF9XxUF,3,C.J.,2,0,3,2,4,5,3,2,6,5,2,6,5,5,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,3.909090909
R_00VGakVwRF9XxUF,3,Cameron,3,0,2,2,3,3,5,3,3,3,1,3,4,5,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,3.090909091
R_00VGakVwRF9XxUF,3,Chris,0,3,5,4,5,3,5,2,6,6,5,6,5,1,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,4.545454545
R_00VGakVwRF9XxUF,3,Jamie,0,3,4,3,5,3,5,5,5,4,4,5,5,5,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,4.545454545
R_00VGakVwRF9XxUF,3,Jessie,2,0,3,3,6,2,6,6,6,5,5,5,5,5,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,5
R_00VGakVwRF9XxUF,3,Jordan,0,3,6,5,6,5,3,5,7,7,6,7,6,7,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,5.909090909
R_00VGakVwRF9XxUF,3,Pat,0,0,5,5,5,3,5,3,6,6,6,6,6,6,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,5.363636364
R_00VGakVwRF9XxUF,3,Sam,0,0,5,3,4,3,5,3,6,6,6,6,6,6,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,5.090909091
R_00VGakVwRF9XxUF,3,Taylor,0,4,3,3,3,3,5,3,4,4,3,5,4,5,4,32,6,2,5,2,1,1.875,3.555555556,3.111111111,3.875,3.9,3.818181818
